guid,city,latitude,longitude,date,level,desc,source,source2,source3,,,,
2014-49,Dujail ,33.85,44.2333,6/22/14,Contested,17 soilder and volunteers were killed in over night clashes with ISIS ,Reuters: http://www.trust.org/item/20140622191556-zw7lp,,,,,,
2014-50,Jalula ,34.2695,45.1662,6/23/14,Contested,Kurdish Peshmerge troops are said to be holding back ISIS's advances towards Baghdad from here. They also state that they cannot continue to do so without help from the West ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10919461/Iraq-crisis-Kurdish-fighters-appeal-for-Western-airstrikes-against-Isis.html,,,,,,
2014-51,Waleed ,33.431,38.9383,6/23/14,Contested,"Claims that the army have managed to retake this crossing, but no other independent claims ",The telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10919563/Iraq-crisis-Convoy-attack-kills-dozens-as-John-Kerry-flies-in-for-talks.html,,,,,,
2014-52,Ramadi,33.4359,43.3081,6/23/14,ISIS,"Shaikh Raad al-Suleiman, a senior figure in Ramadi, said the reason they had captured so much territory was because soldiers in the Iraqi army were not prepared to fight.",NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,WP: http://www.washingtonpost.com/world/middle_east/maliki-calls-for-iraqi-unity-as-battle-rages-at-former-us-air-base/2014/06/25/77936361-80ab-4844-a37c-4c1462df631c_story.html,BBC: http://www.bbc.com/news/world-middle-east-27966774,,,,
2014-53,Nukhaib ,32.145,42.2315,6/24/14,ISIS,,WSJ: http://online.wsj.com/articles/iraqi-army-kills-civilians-in-tikrit-airstrike-say-residents-1403448764,The Economist: http://www.economist.com/news/middle-east-and-africa/21605945-rebels-extend-their-reach-across-iraq-nuri-al-maliki-being-urged,,,,,
2014-54,Hit ,33.634183,42.821972,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-55,Haditha ,42.3781,34.1397,6/25/14,Contested,"ISIS are fighting for control of the Haditha Dam, the second largest in the country, raising fears that they will open its floodgates if they manage to gain control. ",NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,The Times: http://www.thetimes.co.uk/tto/news/world/middleeast/iraq/article4130268.ece,FT: http://www.ft.com/intl/cms/s/0/d46a78f0-f932-11e3-bb9d-00144feab7de.html#axzz35ri02Evn,,,,
2014-56,Habbaniyah,33.3859,43.5909,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-57,Tuz Khumatu ,44.6383,34.8772,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-58,Al Muhassan ,35.2404,40.3309,6/25/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-59,Jurf al-Sakhar,32.8647,44.2062,6/25/14,ISIS,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-60,Sarha,35.9172,45.0069,6/25/14,Contested,,NYT:http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-61,Jalawla,34.2737,45.1658,6/25/14,Contested,"A Briton is reported to have died in the fighting here, suspected jihadist, on the 18th June 2014 ",NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,The telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10916124/Iraq-crisis-British-student-identified-as-recruiting-Isis-jihadists.html,,,,,
2014-62,Muqdadiya,33.9704,44.9286,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-63,Abu Sayda,33.9273,44.7733,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-64,Balad Airbase,34.0164,44.1453,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,BBC: http://www.bbc.com/news/world-middle-east-28015169,,,,,
2014-65,Buhriz,33.7,44.6667,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
2014-66,Saqlawia,33.3999,43.7112,6/25/14,Contested,,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,,
